u,v
0,7
0,16
0,30
0,2
0,34
0,27
0,11
0,29
0,6
0,26
0,10
0,3
0,21
1,31
1,15
1,33
1,19
1,3
1,12
1,5
1,22
1,16
1,18
1,20
1,4
1,27
2,11
2,29
2,13
2,6
2,15
2,24
2,17
2,35
2,10
2,28
2,3
2,18
3,13
3,31
3,24
3,28
3,12
3,30
3,5
3,14
3,7
3,27
4,9
4,23
4,32
4,34
4,11
4,29
4,22
4,33
4,17
4,10
4,5
4,16
5,14
5,23
5,7
5,18
5,6
5,27
5,22
5,31
5,8
5,26
6,18
6,11
6,20
6,24
6,33
6,26
6,10
6,28
6,7
6,25
7,35
7,19
7,12
7,21
7,25
7,18
7,22
7,15
7,24
8,11
8,32
8,25
8,13
8,31
8,24
8,33
8,35
8,19
8,12
8,21
8,16
9,17
9,10
9,19
9,28
9,16
9,23
9,25
9,18
9,27
9,31
9,15
9,33
10,34
10,22
10,31
10,15
10,26
10,32
10,25
10,11
11,16
11,20
11,22
11,24
11,33
11,17
11,35
12,18
12,20
12,29
12,13
12,31
12,24
12,33
12,17
12,16
13,33
13,26
13,21
13,30
13,23
13,18
13,32
13,27
13,24
14,22
14,15
14,17
14,35
14,19
14,21
14,30
14,23
14,16
14,25
14,34
15,21
15,23
15,32
15,25
15,20
15,29
15,22
16,20
16,29
16,26
16,32
16,25
17,30
17,25
17,27
17,20
17,29
17,35
17,28
18,19
18,30
18,34
18,20
18,22
19,34
19,29
19,22
19,31
19,33
19,35
19,28
20,35
20,28
20,30
20,34
20,27
21,32
21,22
21,31
21,35
21,28
21,30
21,23
22,26
22,27
23,34
23,29
23,31
23,24
23,33
23,28
24,26
24,28
24,30
24,31
25,32
25,34
25,26
25,28
26,34
26,27
26,29
26,35
27,34
27,33
27,32
28,30
28,32
29,32
29,35
29,30
30,33
30,32
31,35
31,34
32,35
33,34
